(0, {'lat': 14.576605856079937, 'lon': 120.95449447631837})
(1, {'lat': 14.576605856079937, 'lon': 120.95758438110353})
(2, {'lat': 14.576605856079937, 'lon': 120.96084594726564})
(3, {'lat': 14.576605856079937, 'lon': 120.9639358520508})
(4, {'lat': 14.576605856079937, 'lon': 120.96702575683595})
(5, {'lat': 14.576605856079937, 'lon': 120.97028732299806})
(6, {'lat': 14.576605856079937, 'lon': 120.97337722778322})
(7, {'lat': 14.576605856079937, 'lon': 120.97646713256837})
(8, {'lat': 14.576605856079937, 'lon': 120.97972869873048})
(9, {'lat': 14.576605856079937, 'lon': 120.98281860351564})
(10, {'lat': 14.576605856079937, 'lon': 120.9859085083008})
(11, {'lat': 14.576605856079937, 'lon': 120.9891700744629})
(13, {'lat': 14.576605856079937, 'lon': 120.99534988403322})
(14, {'lat': 14.576605856079937, 'lon': 120.99861145019533})
(15, {'lat': 14.576605856079937, 'lon': 121.00170135498048})
(16, {'lat': 14.576605856079937, 'lon': 121.00479125976564})
(17, {'lat': 14.576605856079937, 'lon': 121.00805282592775})
(18, {'lat': 14.579762416373141, 'lon': 120.95449447631837})
(19, {'lat': 14.579762416373141, 'lon': 120.95758438110353})
(20, {'lat': 14.579762416373141, 'lon': 120.96084594726564})
(21, {'lat': 14.579762416373141, 'lon': 120.9639358520508})
(22, {'lat': 14.579762416373141, 'lon': 120.96702575683595})
(23, {'lat': 14.579762416373141, 'lon': 120.97028732299806})
(24, {'lat': 14.579762416373141, 'lon': 120.97337722778322})
(25, {'lat': 14.579762416373141, 'lon': 120.97646713256837})
(26, {'lat': 14.579762416373141, 'lon': 120.97972869873048})
(27, {'lat': 14.579762416373141, 'lon': 120.98281860351564})
(28, {'lat': 14.579762416373141, 'lon': 120.9859085083008})
(29, {'lat': 14.579762416373141, 'lon': 120.9891700744629})
(31, {'lat': 14.579762416373141, 'lon': 120.99534988403322})
(32, {'lat': 14.579762416373141, 'lon': 120.99861145019533})
